BOX,2002_inhabitants,2003_inhabitants,2004_inhabitants,2005_inhabitants,2006_inhabitants,2007_inhabitants,2008_inhabitants,2009_inhabitants,2010_inhabitants,2011_inhabitants,2012_inhabitants,2013_inhabitants,Num_Chicks_Banded,%Successful,with_chicks,w/o_chicks,Total,Years Up,
97,EMPTY,MOUSE,KESTREL,KESTREL,EMPTY,EMPTY,Empty,FAILED,KESTREL,Failed,Down,Failed,12,50,3,3,6,11,
98,EMPTY,EMPTY,EMPTY,FAILED,DOWN,MOVED,SQUIRREL,MICE,Empty,empty,Failed,Squirrel,0,0,0,2,2,10,
99,EMPTY,FAIL,EMPTY,KESTREL,FAILED,GRACKLE,Empty,FAILED,Empty,empty,Failed,Failed,0,0,0,5,5,12,
100,EMPTY,EMPTY,GRACKLE,EMPTY,EMPTY,EMPTY,Empty,EMPTY,Down,empty,Empty,KESTREL,3,100,1,0,1,11,
101,GRACKLE,FAIL,EMPTY,FAILED,FAILED,EMPTY,GRACKLE,FAILED,KESTREL,KESTREL,Empty,Empty,7,33.4,2,4,6,12,
102,GRACKLE,GRACKLE,GRACKLE,GRACKLE,GRACKLE,GRACKLE,GRACKLE,GRACKLE,Grackles,grackle,Grackle,Empty,0,0,0,0,0,12,
103,EMPTY,FAIL,MOUSE,FAILED,EMPTY,MOVED,Empty,FAILED,Bees,empty,KESTREL,Empty,5,25,1,3,4,11,
104,GRACKLE,GRACKLE,FAILED,EMPTY,EMPTY,EMPTY,GRACKLE,GRACKLE,KESTREL,empty,Failed,Empty,4,33.4,1,2,3,12,
105,EMPTY,KESTREL,EMPTY,GRACKLE,HOUSE SPARROW,SPARROW,GRACKLE,FAILED,KESTREL,KESTREL,KESTREL,KESTREL,21,83.3,5,1,6,12,
106,GRACKLE,EMPTY,GRACKLE,EMPTY,EMPTY,GRACKLE,Empty,FAILED,Failed,KESTREL,Grackle,Empty,5,33.4,1,2,3,12,
107,KESTREL,GRACKLE,GRACKLE,GRACKLE,EMPTY,GRACKLE,GRACKLE,STARLING,Grackles,Starling,Starling,Empty,3,100,1,0,1,12,
108,KESTREL,FAIL,FAILED,GRACKLE,GRACKLE,GRACKLE,Empty,GRACKLE,Failed,empty,Grackle,Grackles,3,25,1,3,4,12,
109,EMPTY,GRACKLE,GRACKLE,EMPTY,EMPTY,GRACKLE,Empty,GRACKLE,Grackles,down,KESTREL,Empty,5,100,1,0,1,12,
110,STARLING,FAIL,GRACKLE,EMPTY,GRACKLE,KESTREL,FAILED,GRACKLE,KESTREL,KESTREL,KESTREL,Failed,13,57.1,4,3,7,12,
111,EMPTY,EMPTY,FAILED,FAILED,EMPTY,MOVED,FAILED,FAILED,KESTREL,Failed,Empty,KESTREL,9,28.5,2,5,7,11,
112,EMPTY,EMPTY,EMPTY,EMPTY,EMPTY,MOVED,STARLING,FAILED,Mouse Nest,empty,Empty,Empty,0,0,0,1,1,11,
113,,EMPTY,GRACKLE,KESTREL,EMPTY,KESTREL,KESTREL,KESTREL,Empty,Failed,Empty,Empty,15,80,4,1,5,11,
114,,EMPTY,STARLING,EMPTY,EMPTY,EMPTY,GRACKLE,STARLING,KESTREL,empty,Empty,Empty,5,100,1,0,1,11,
115,,EMPTY,EMPTY,KESTREL,KESTREL,EMPTY,FAILED,KESTREL,Failed,empty,Empty,Empty,2,50,2,2,4,11,
